id,task_id,title,name,text,disc,imgPath,status,created_at,updated_at
1,1,NC加工の基礎,山田健一,NC加工の基礎構造を理解できた。工具径補正の考え方が今後の実務に役立つ。,NC加工の仕組み、工具経路、補正方法を初心者向けに整理した入門書。,images/books/book_1.jpg,end,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
2,2,材料特性と切削条件,鈴木悠斗,材料ごとの切削抵抗の違いを意識できるようになった。,金属材料の性質と最適切削条件を体系化した技術書。,images/books/book_2.jpg,run,2024-01-02T00:00:00Z,2024-01-02T00:00:00Z
3,3,高精度加工の理論,佐藤雅也,高精度加工における熱変位管理の重要性を再認識した。,精密加工に必要な理論、誤差要因、補正設計を解説した書籍。,images/books/book_3.jpg,end,2024-01-03T00:00:00Z,2024-01-03T00:00:00Z
4,4,難削材加工ハンドブック,井上拓真,インコネル加工のポイントを把握できた。工具摩耗対策が参考になった。,難削材の特性・切削メカニズム・加工指針をまとめた実践ハンドブック。,images/books/book_4.jpg,run,2024-01-04T00:00:00Z,2024-01-04T00:00:00Z
5,5,人材育成と技能伝承,田中真由美,OJT の設計方法が整理できた。若手教育の改善点が見えた。,製造現場の教育体系と技能伝承の方法論をまとめた解説書。,images/books/book_5.jpg,end,2024-01-05T00:00:00Z,2024-01-05T00:00:00Z
6,6,ロボティクス基礎,川口亮,ロボット座標系の扱い方を理解。ティーチング精度改善のヒントを得た。,ロボット工学の基本要素と制御方法を初心者向けに解説。,images/books/book_6.jpg,run,2024-01-06T00:00:00Z,2024-01-06T00:00:00Z
7,7,AI品質管理入門,本田瑞樹,AI検査の教師データづくりの重要性を理解した。,画像検査AIの仕組みと導入手順を解説する入門書。,images/books/book_7.jpg,want,2024-01-07T00:00:00Z,2024-01-07T00:00:00Z
8,8,IoTと予知保全,青木聡,設備データの特徴量選定の方法を学べた。,IoTセンサー利用と予知保全モデル構築を実例で解説。,images/books/book_8.jpg,run,2024-01-08T00:00:00Z,2024-01-08T00:00:00Z
9,9,デジタルツイン活用,森下大輝,設備シミュレーションの活用イメージを得た。,デジタルツインによる工程最適化・分析の実践手法を紹介。,images/books/book_9.jpg,end,2024-01-09T00:00:00Z,2024-01-09T00:00:00Z
10,10,サステナブル製造概論,白井さくら,環境配慮型加工の視点を学べた。,持続可能な製造プロセス設計をわかりやすくまとめた概論書。,images/books/book_10.jpg,want,2024-01-10T00:00:00Z,2024-01-10T00:00:00Z
